Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
5010,0.7272727272727273,0,1623,2000,85,68,2277.4324324324325,0,0,0,0,0,0,16.008021354675293,7.749045133590698,0.003307819366455078,0.0282137393951416,0.38378286361694336,0.404465913772583,6.914138793945312e-05,0.006226062774658203,1.2870807647705078,0.0009059906005859375,2.1114392280578613,1.299267292022705,0.14697885513305664,1.0642824172973633
5011,0.75,0,1624,2000,134,108,3097.8698630136987,0,1,2,0,1,0,16.017038106918335,7.751867294311523,0.003307819366455078,0.028253793716430664,0.3841280937194824,0.4046022891998291,6.914138793945312e-05,0.006226062774658203,1.2884736061096191,0.0009059906005859375,2.11466646194458,1.3006713390350342,0.14710164070129395,1.0645053386688232
5012,0.7692307692307693,0,1625,2000,84,61,2697.1466666666665,0,0,2,0,1,0,16.0248122215271,7.754441499710083,0.003308534622192383,0.028253793716430664,0.38416600227355957,0.4046921730041504,6.914138793945312e-05,0.006226062774658203,1.2897722721099854,0.0009059906005859375,2.1177635192871094,1.3019771575927734,0.14717674255371094,1.0646724700927734
5013,0.7142857142857143,0,1625,2000,91,68,2659.8395061728397,0,0,1,0,1,0,16.03280019760132,7.75696873664856,0.003308534622192383,0.028253793716430664,0.38448286056518555,0.4047818183898926,6.914138793945312e-05,0.006226062774658203,1.2908735275268555,0.0009059906005859375,2.121011257171631,1.3030850887298584,0.14725589752197266,1.064840316772461
5014,0.7333333333333333,0,1626,2000,122,70,3093.325842696629,0,1,2,0,1,0,16.041283130645752,7.759901523590088,0.003309488296508789,0.028290987014770508,0.38463592529296875,0.4048888683319092,6.914138793945312e-05,0.006226062774658203,1.2922303676605225,0.0009059906005859375,2.124037981033325,1.3044490814208984,0.1473381519317627,1.0650556087493896
5015,0.75,0,1626,2000,113,51,2895.1846153846154,0,1,2,0,2,0,16.049764156341553,7.76261568069458,0.0033104419708251953,0.028321027755737305,0.3847827911376953,0.40508198738098145,6.914138793945312e-05,0.006226062774658203,1.293532371520996,0.0009059906005859375,2.1273486614227295,1.3057589530944824,0.14742708206176758,1.0652530193328857
5016,0.7058823529411765,0,1626,2000,99,33,2026.078947368421,0,0,0,0,0,0,16.053176164627075,7.76541543006897,0.0033113956451416016,0.028321027755737305,0.3847827911376953,0.40514397621154785,6.914138793945312e-05,0.006226062774658203,1.293532371520996,0.0009059906005859375,2.127349853515625,1.3057589530944824,0.14742708206176758,1.0654523372650146
5017,0.7222222222222222,0,1626,2000,96,79,2932.4862385321103,0,0,2,0,2,0,16.06230616569519,7.7682225704193115,0.0033113956451416016,0.028387784957885742,0.38515686988830566,0.40529823303222656,6.914138793945312e-05,0.006226062774658203,1.295112133026123,0.0009059906005859375,2.1305360794067383,1.3073499202728271,0.14761018753051758,1.0656218528747559
5018,0.7368421052631579,0,1625,2000,124,81,2625.9333333333334,0,0,1,0,2,0,16.070404291152954,7.77102255821228,0.003312349319458008,0.028387784957885742,0.38529276847839355,0.40541505813598633,6.914138793945312e-05,0.006226062774658203,1.2960121631622314,0.0009059906005859375,2.1337480545043945,1.308255910873413,0.14769935607910156,1.0658478736877441
5019,0.75,0.7584750000000027,1625,2000,172,156,2718.0348258706467,0,0,0,0,0,0,16.07539129257202,7.773832559585571,0.003313302993774414,0.028387784957885742,0.38529276847839355,0.40560102462768555,6.914138793945312e-05,0.006226062774658203,1.2960121631622314,0.0009059906005859375,2.1337480545043945,1.308255910873413,0.14769935607910156,1.066115140914917
5020,0.7142857142857143,0.7584750000000027,1625,2000,123,14,2044.75,0,0,0,0,0,0,16.07877826690674,7.776576280593872,0.003313302993774414,0.028387784957885742,0.38529276847839355,0.4056429862976074,6.914138793945312e-05,0.006226062774658203,1.2960121631622314,0.0009059906005859375,2.1337480545043945,1.308255910873413,0.14769935607910156,1.0671892166137695
5021,0.7272727272727273,0.7584750000000027,1625,2000,106,63,3282.9875,0,0,0,0,0,0,16.08238935470581,7.779491424560547,0.003313302993774414,0.028387784957885742,0.38529276847839355,0.4057352542877197,6.914138793945312e-05,0.006226062774658203,1.2960121631622314,0.0009059906005859375,2.13374924659729,1.308255910873413,0.14769935607910156,1.0673675537109375
5022,0.7391304347826086,0.7584750000000027,1623,2000,91,30,2756.4634146341464,0,0,1,0,2,0,16.09031343460083,7.782058238983154,0.003313302993774414,0.028387784957885742,0.3854997158050537,0.4057881832122803,6.914138793945312e-05,0.006226062774658203,1.2974748611450195,0.0009059906005859375,2.136794090270996,1.3097279071807861,0.14774537086486816,1.0675253868103027
5023,0.75,0.7584750000000027,1623,2000,121,114,2435.46875,0,0,2,0,2,0,16.099132299423218,7.784778118133545,0.0033142566680908203,0.02841973304748535,0.3858497142791748,0.40592026710510254,6.914138793945312e-05,0.006226062774658203,1.2987926006317139,0.0009059906005859375,2.1400370597839355,1.3110549449920654,0.14787054061889648,1.0677573680877686
5024,0.72,0.7584750000000027,1623,2000,114,24,2336.84,0,0,0,0,0,0,16.10241937637329,7.7874391078948975,0.0033142566680908203,0.02841973304748535,0.3858497142791748,0.40598034858703613,6.914138793945312e-05,0.006226062774658203,1.2987926006317139,0.0009059906005859375,2.140038251876831,1.3110549449920654,0.14787054061889648,1.067960500717163
5025,0.7307692307692307,0.7584750000000027,1623,2000,81,56,2754.4328358208954,0,0,2,0,2,0,16.11090326309204,7.789941072463989,0.0033142566680908203,0.02841973304748535,0.3860788345336914,0.40605640411376953,6.914138793945312e-05,0.006226062774658203,1.30068039894104,0.0009059906005859375,2.143195152282715,1.3129498958587646,0.1479485034942627,1.0681073665618896
5026,0.7037037037037037,0.7584750000000027,1623,2000,94,56,1911.655737704918,0,1,2,0,2,0,16.118908166885376,7.792461156845093,0.003314971923828125,0.028453588485717773,0.38633060455322266,0.40613627433776855,6.914138793945312e-05,0.006226062774658203,1.3019862174987793,0.0009059906005859375,2.1462810039520264,1.3142640590667725,0.14802145957946777,1.0683043003082275
5027,0.6785714285714286,0.7584750000000027,1622,2000,155,18,2267.5833333333335,0,0,1,0,2,0,16.127021074295044,7.79524302482605,0.0033159255981445312,0.028453588485717773,0.3865683078765869,0.4061920642852783,6.914138793945312e-05,0.006226062774658203,1.3031651973724365,0.0009059906005859375,2.14931583404541,1.3154520988464355,0.14805817604064941,1.068575382232666
5028,0.6896551724137931,0.7584750000000027,1622,2000,129,83,2521.519230769231,0,0,0,0,0,0,16.130598306655884,7.797937870025635,0.0033168792724609375,0.028453588485717773,0.3865683078765869,0.40630197525024414,6.914138793945312e-05,0.006226062774658203,1.3031651973724365,0.0009059906005859375,2.1493167877197266,1.3154520988464355,0.14805817604064941,1.068793773651123
5029,0.7,0.7584750000000027,1621,2000,131,117,2724.2123287671234,0,0,1,0,2,0,16.13897705078125,7.800629138946533,0.0033168792724609375,0.028487682342529297,0.38680124282836914,0.4064340591430664,6.914138793945312e-05,0.006226062774658203,1.3044192790985107,0.0009059906005859375,2.1523287296295166,1.3167133331298828,0.14818024635314941,1.068997859954834
5030,0.7096774193548387,0.7584750000000027,1621,2000,104,18,2498.913043478261,0,0,0,0,0,0,16.142253160476685,7.803343296051025,0.0033168792724609375,0.028487682342529297,0.38680124282836914,0.40648722648620605,6.914138793945312e-05,0.006226062774658203,1.3044192790985107,0.0009059906005859375,2.1523287296295166,1.3167133331298828,0.14818024635314941,1.0691826343536377
5031,0.71875,0.7584750000000027,1621,2000,92,66,3018.972602739726,0,0,0,0,0,0,16.145488262176514,7.805943489074707,0.003317594528198242,0.028487682342529297,0.38680124282836914,0.4065730571746826,6.914138793945312e-05,0.006226062774658203,1.3044192790985107,0.0009059906005859375,2.152329921722412,1.3167133331298828,0.14818024635314941,1.0693449974060059
5032,0.7272727272727273,0.7584750000000027,1621,2000,86,34,3117.625,0,0,0,0,0,0,16.148561239242554,7.80849027633667,0.00331878662109375,0.028487682342529297,0.38680124282836914,0.40664029121398926,6.914138793945312e-05,0.006226062774658203,1.3044192790985107,0.0009059906005859375,2.1523311138153076,1.3167133331298828,0.14818024635314941,1.069498062133789
5033,0.7352941176470589,0.7584750000000027,1621,2000,94,75,2768.621052631579,0,0,0,0,0,0,16.151893377304077,7.811085224151611,0.00331878662109375,0.028487682342529297,0.38680124282836914,0.4067394733428955,6.914138793945312e-05,0.006226062774658203,1.3044192790985107,0.0009059906005859375,2.1523311138153076,1.3167133331298828,0.14818024635314941,1.0696558952331543
5034,0.7428571428571429,0.7584750000000027,1623,2000,105,57,2748.4358974358975,0,0,2,0,0,0,16.160662174224854,7.813853979110718,0.00331878662109375,0.028487682342529297,0.3870372772216797,0.40682339668273926,6.914138793945312e-05,0.006226062774658203,1.3060243129730225,0.0009059906005859375,2.1556429862976074,1.3183262348175049,0.14825153350830078,1.0698318481445312
5035,0.75,0.7584750000000027,1623,2000,74,30,2218.7894736842104,0,0,0,0,0,0,16.163825273513794,7.816481828689575,0.0033197402954101562,0.028487682342529297,0.3870372772216797,0.4068934917449951,6.914138793945312e-05,0.006226062774658203,1.3060243129730225,0.0009059906005859375,2.155644178390503,1.3183262348175049,0.14825153350830078,1.0700187683105469
5036,0.7567567567567568,0.7584750000000027,1622,2000,94,44,2779.9827586206898,0,0,1,0,2,0,16.17159342765808,7.819103717803955,0.003320932388305664,0.02852177619934082,0.3872344493865967,0.40697360038757324,6.914138793945312e-05,0.006226062774658203,1.306993007659912,0.0009059906005859375,2.1587231159210205,1.3193080425262451,0.14831876754760742,1.0701887607574463
5037,0.7631578947368421,0.7584750000000027,1622,2000,120,84,2851.991452991453,0,0,2,0,1,0,16.179940223693848,7.821918725967407,0.0033218860626220703,0.028552770614624023,0.3874673843383789,0.4070887565612793,6.914138793945312e-05,0.006226062774658203,1.3079898357391357,0.0009059906005859375,2.1619741916656494,1.3203160762786865,0.14841389656066895,1.070401668548584
5038,0.7692307692307693,0.7584750000000027,1622,2000,86,42,2208.607843137255,0,0,0,0,0,0,16.183199405670166,7.824510812759399,0.0033218860626220703,0.028552770614624023,0.3874673843383789,0.40717577934265137,6.914138793945312e-05,0.006226062774658203,1.3079898357391357,0.0009059906005859375,2.1619741916656494,1.3203160762786865,0.14841389656066895,1.0705678462982178
5039,0.75,0.7584750000000027,1622,2000,74,27,2230.5714285714284,0,0,1,0,1,0,16.19067907333374,7.827176809310913,0.0033218860626220703,0.028552770614624023,0.3877224922180176,0.40723490715026855,6.914138793945312e-05,0.006226062774658203,1.3089220523834229,0.0009059906005859375,2.165013313293457,1.3212571144104004,0.14845967292785645,1.0707244873046875
5040,0.7560975609756098,0.7584750000000027,1622,2000,108,87,2603.048076923077,0,0,1,0,1,0,16.199097156524658,7.829938650131226,0.0033228397369384766,0.028552770614624023,0.3879542350769043,0.40734291076660156,6.914138793945312e-05,0.006226062774658203,1.3102571964263916,0.0009059906005859375,2.16814923286438,1.3225979804992676,0.14855670928955078,1.0709185600280762
5041,0.7619047619047619,0.7584750000000027,1622,2000,87,39,3235.5,0,0,0,0,0,0,16.20259714126587,7.832510709762573,0.003323793411254883,0.02858591079711914,0.3881802558898926,0.4074118137359619,6.914138793945312e-05,0.006226062774658203,1.3102571964263916,0.0009059906005859375,2.1681504249572754,1.3225979804992676,0.14860868453979492,1.0710856914520264
5042,0.7441860465116279,0.7584750000000027,1622,2000,89,30,1916.969696969697,0,0,0,0,0,0,16.205803155899048,7.835190773010254,0.0033249855041503906,0.02858591079711914,0.3881802558898926,0.40746498107910156,6.914138793945312e-05,0.006226062774658203,1.3102571964263916,0.0009059906005859375,2.1681511402130127,1.3225979804992676,0.14860868453979492,1.0712497234344482
5043,0.7272727272727273,0.7584750000000027,1622,2000,96,44,2272.3478260869565,0,0,0,0,0,0,16.20974826812744,7.8384528160095215,0.003325939178466797,0.02858591079711914,0.3881802558898926,0.4075508117675781,6.914138793945312e-05,0.006226062774658203,1.3102571964263916,0.0009059906005859375,2.168152332305908,1.3225979804992676,0.14860868453979492,1.071472406387329
5044,0.7333333333333333,0.7584750000000027,1621,2000,156,119,2857.0933333333332,0,0,2,0,2,0,16.218459367752075,7.841356992721558,0.003326892852783203,0.028616905212402344,0.3884572982788086,0.40768861770629883,6.914138793945312e-05,0.006226062774658203,1.3112454414367676,0.0009059906005859375,2.1713144779205322,1.3235979080200195,0.14874053001403809,1.0717206001281738
5045,0.7391304347826086,0.7584750000000027,1622,2000,116,38,3683.4772727272725,0,1,2,0,1,0,16.226645469665527,7.843961000442505,0.0033278465270996094,0.028650760650634766,0.3887662887573242,0.4077568054199219,6.914138793945312e-05,0.006226062774658203,1.3126370906829834,0.0009059906005859375,2.174372434616089,1.3249969482421875,0.14879250526428223,1.0719223022460938
5046,0.723404255319149,0.7584750000000027,1623,2000,116,32,2747.121212121212,0,1,1,0,1,0,16.234848022460938,7.846656084060669,0.003329038619995117,0.028691768646240234,0.3890092372894287,0.4078209400177002,6.914138793945312e-05,0.006226062774658203,1.3138651847839355,0.0009059906005859375,2.1775975227355957,1.3262319564819336,0.14883923530578613,1.072131872177124
5047,0.7291666666666666,0.7584750000000027,1624,2000,136,93,3160.981981981982,0,0,2,0,1,0,16.244542360305786,7.850025177001953,0.0033299922943115234,0.028691768646240234,0.3892979621887207,0.40796875953674316,6.914138793945312e-05,0.006226062774658203,1.315237283706665,0.0009059906005859375,2.180835723876953,1.3276128768920898,0.14894795417785645,1.0725898742675781
5048,0.7346938775510204,0.7584750000000027,1624,2000,91,34,2605.7027027027025,0,0,0,0,0,0,16.24842119216919,7.853212118148804,0.003331899642944336,0.028691768646240234,0.3892979621887207,0.4080495834350586,6.914138793945312e-05,0.006226062774658203,1.315237283706665,0.0009059906005859375,2.180837631225586,1.3276128768920898,0.14894795417785645,1.0728387832641602
5049,0.74,0.7584750000000027,1624,2000,139,124,2771.2763157894738,0,0,2,0,2,0,16.25732135772705,7.8560051918029785,0.003331899642944336,0.028691768646240234,0.3894970417022705,0.4082064628601074,6.914138793945312e-05,0.006226062774658203,1.3165512084960938,0.0009059906005859375,2.184093713760376,1.3289399147033691,0.14908385276794434,1.073072910308838
5050,0.72,0.7584750000000027,1624,2000,71,35,2303.2285714285713,0,0,2,0,2,0,16.266173362731934,7.858684301376343,0.0033330917358398438,0.028691768646240234,0.38979315757751465,0.4082834720611572,6.914138793945312e-05,0.006226062774658203,1.317995309829712,0.0009059906005859375,2.187609910964966,1.330392837524414,0.14922499656677246,1.0732407569885254
