Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
10,1.0,0,10,10,1,1,10.0,0,0,0,1,0,0,0.007813215255737305,0.000118255615234375,0.0002219676971435547,0.0,0.0,0.006488800048828125,4.220008850097656e-05,0.006193876266479492,1.1444091796875e-05,0.0,5.4836273193359375e-06,0.0,0.0,0.0006196498870849609
11,1.0,0,10,10,1,1,4.0,0,0,0,0,0,0,0.007921218872070312,0.00013446807861328125,0.0002219676971435547,0.0,0.0,0.006515979766845703,4.220008850097656e-05,0.006193876266479492,1.1444091796875e-05,0.0,6.4373016357421875e-06,0.0,0.0,0.0006628036499023438
12,1.0,0,11,11,1,1,12.0,0,0,0,1,0,0,0.008049249649047852,0.0001533031463623047,0.0002391338348388672,0.0,0.0,0.0065441131591796875,4.220008850097656e-05,0.006193876266479492,1.239776611328125e-05,0.0,6.4373016357421875e-06,0.0,0.0,0.0007047653198242188
13,0.9285714285714286,0,12,12,2,1,13.0,0,0,0,1,0,0,0.008172035217285156,0.0001704692840576172,0.00025010108947753906,0.0,0.0,0.00657200813293457,4.220008850097656e-05,0.006193876266479492,1.239776611328125e-05,0.0,7.3909759521484375e-06,0.0,0.0,0.0007486343383789062
14,0.8666666666666667,0,12,12,2,1,4.0,0,0,0,0,0,0,0.008287191390991211,0.0001914501190185547,0.00025010108947753906,0.0,0.0,0.006599903106689453,4.220008850097656e-05,0.006193876266479492,1.239776611328125e-05,0.0,8.58306884765625e-06,0.0,0.0,0.0007927417755126953
15,0.8125,0,12,12,2,1,4.0,0,0,0,0,0,0,0.008400201797485352,0.0002105236053466797,0.00025010108947753906,0.0,0.0,0.0066280364990234375,4.220008850097656e-05,0.006193876266479492,1.239776611328125e-05,0.0,9.298324584960938e-06,0.0,0.0,0.0008344650268554688
16,0.8235294117647058,0,12,12,2,1,4.0,0,0,0,0,0,0,0.008515119552612305,0.0002295970916748047,0.00025010108947753906,0.0,0.0,0.0066568851470947266,4.220008850097656e-05,0.006193876266479492,1.239776611328125e-05,0.0,9.298324584960938e-06,0.0,0.0,0.0008778572082519531
17,0.8333333333333334,0,13,13,1,1,17.0,0,0,0,1,0,0,0.008655071258544922,0.0002505779266357422,0.0002732276916503906,0.0,0.0,0.006686687469482422,4.220008850097656e-05,0.006193876266479492,1.33514404296875e-05,0.0,9.298324584960938e-06,0.0,0.0,0.0009241104125976562
18,0.8421052631578947,0,13,13,2,1,4.0,0,0,0,0,0,0,0.008773088455200195,0.0002715587615966797,0.0002741813659667969,0.0,0.0,0.006716489791870117,4.220008850097656e-05,0.006193876266479492,1.33514404296875e-05,0.0,9.298324584960938e-06,0.0,0.0,0.0009684562683105469
19,0.85,0,14,14,1,1,19.0,0,0,0,1,0,0,0.008910179138183594,0.00029659271240234375,0.0002932548522949219,0.0,0.0,0.00674748420715332,4.220008850097656e-05,0.006193876266479492,1.430511474609375e-05,0.0,9.298324584960938e-06,0.0,0.0,0.001012563705444336
