Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
19,0.85,0,14,14,2,1,11.0,0,0,0,0,0,0,0.6236941814422607,0.0003972053527832031,0.00034046173095703125,0.0,0.0,0.047585487365722656,2.8848648071289062e-05,0.6204440593719482,1.52587890625e-05,0.0,1.430511474609375e-05,0.0,0.0,0.0011670589447021484
20,0.8095238095238095,0,15,15,2,1,20.0,0,0,0,1,0,0,0.6238572597503662,0.00042939186096191406,0.0003535747528076172,0.0,0.0,0.047620534896850586,2.8848648071289062e-05,0.6204440593719482,1.621246337890625e-05,0.0,1.430511474609375e-05,0.0,0.0,0.0012218952178955078
21,0.8181818181818182,0,15,15,2,1,20.0,0,0,0,0,0,0,0.6240131855010986,0.0004622936248779297,0.00035452842712402344,0.0,0.0,0.04765677452087402,2.8848648071289062e-05,0.6204440593719482,1.621246337890625e-05,0.0,1.430511474609375e-05,0.0,0.0,0.0012798309326171875
22,0.782608695652174,0,15,15,2,1,7.0,0,0,0,0,0,0,0.6241662502288818,0.0004932880401611328,0.00035452842712402344,0.0,0.0,0.04769301414489746,2.8848648071289062e-05,0.6204440593719482,1.621246337890625e-05,0.0,1.52587890625e-05,0.0,0.0,0.0013377666473388672
23,0.7916666666666666,0,15,15,2,1,11.0,0,0,0,0,0,0,0.6243281364440918,0.0005321502685546875,0.0003554821014404297,0.0,0.0,0.0477290153503418,2.8848648071289062e-05,0.6204440593719482,1.621246337890625e-05,0.0,1.52587890625e-05,0.0,0.0,0.0013957023620605469
24,0.76,0,15,15,2,1,7.0,0,0,0,0,0,0,0.6244831085205078,0.0005643367767333984,0.0003561973571777344,0.0,0.0,0.047765254974365234,2.8848648071289062e-05,0.6204440593719482,1.621246337890625e-05,0.0,1.621246337890625e-05,0.0,0.0,0.0014538764953613281
25,0.7307692307692307,0,15,15,2,1,7.0,0,0,0,0,0,0,0.6246311664581299,0.0005953311920166016,0.0003571510314941406,0.0,0.0,0.04779934883117676,2.8848648071289062e-05,0.6204440593719482,1.621246337890625e-05,0.0,1.7404556274414062e-05,0.0,0.0,0.0015082359313964844
26,0.7407407407407407,0,16,16,1,1,26.0,0,0,0,1,0,0,0.624812126159668,0.0006315708160400391,0.0003859996795654297,0.0,0.0,0.04783821105957031,2.8848648071289062e-05,0.6204440593719482,1.71661376953125e-05,0.0,1.8358230590820312e-05,0.0,0.0,0.0015606880187988281
27,0.75,0,17,17,2,1,27.0,0,0,0,1,0,0,0.625,0.0006706714630126953,0.00041103363037109375,0.0,0.0,0.04787755012512207,2.8848648071289062e-05,0.6204440593719482,1.811981201171875e-05,0.0,1.9311904907226562e-05,0.0,0.0,0.001615762710571289
28,0.7241379310344828,0,17,17,2,1,14.0,0,0,0,0,0,0,0.6251561641693115,0.0007073879241943359,0.00041103363037109375,0.0,0.0,0.047913551330566406,2.8848648071289062e-05,0.6204440593719482,1.811981201171875e-05,0.0,2.0265579223632812e-05,0.0,0.0,0.001668691635131836
