Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_1, A_2, A_3, R_4, R_5, R_7, R_9",1.0,0.056313514709472656,0.75,1,48.21680776952739,9813,7060,0.35,0.003824323298360521,18,24,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_3, R_0, R_5, R_11, R_12, R_15",1.0,0.10737418240000006,0.8,2,39.8,9754,7064,0.4,0.0005662586270263874,4,5,False
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_1, R_9",1.0,1.0,1.0,5,41.16696298650171,9990,7081,0.3,0.0014642680866571965,55,55,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_6, R_7, R_10, R_13, R_15",1.0,0.04717852373687206,0.7368421052631579,1,49.90136810861363,9723,7085,0.35,0.00035498844462213456,14,19,False
"0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_2, A_3, R_2, R_3",0.0,0.09893508420670521,0.7934782608695652,1,37.1792356825527,9952,7096,0.25,0.00026448571547101464,73,92,False
"0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, R_3, R_4, R_7, R_8, R_10, R_12",1.0,0.08966986063941502,0.7857142857142857,1,51.216724377599995,9963,7102,0.4,0.0003643456284779985,11,14,False
"1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_9",1.0,1.0,1.0,12,38.18588870295522,9934,7109,0.25,0.0032597621470428933,101,101,False
"0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_3, R_4, R_10",0.0,0.12279913468651285,0.8108108108108109,1,49.76683839422931,9953,7110,0.3,0.0003540314268914622,30,37,False
"0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_2, R_6, R_7, R_10, R_13",1.0,0.23906771605510008,0.8666666666666667,1,37.7086710784,9723,7113,0.4,0.00026825201396789484,13,15,False
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_5, R_13, R_15",0.0,1.0,1.0,2,53.784941341611145,9962,7117,0.3,0.0007652308301204902,43,43,False
"0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_15",0.0,0.08891091583667872,0.7850467289719626,1,49.448123631629144,9981,7130,0.25,0.0003517641532245902,84,107,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_3, R_9, R_11, R_15",0.0,0.08966986063941502,0.7857142857142857,1,52.85783740437903,9973,7132,0.35,0.0003760201813591419,22,28,False
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_3, R_2, R_7, R_9, R_14, R_15",0.0,0.10737418240000006,0.8,1,41.4,9477,7146,0.4,0.00029451139646849796,4,5,False
"1.0, 1.0, 0.0, 1.0, 1.0","A_1, A_3, R_6, R_7, R_15",1.0,0.14347992566424797,0.8235294117647058,1,55.42874118578363,9971,7152,0.25,0.00039430908142792476,70,85,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, R_0, R_1, R_3",0.0,0.2983386273646035,0.8860759493670886,1,53.82399334061473,9974,7164,0.25,0.0003828932232428884,70,79,False
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_0, R_2, R_8",1.0,1.0,1.0,5,53.17655101376543,9916,7165,0.3,0.0018914372341113986,46,46,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_1, A_3, R_4, R_6, R_8, R_9, R_11",0.0,0.11815700323790082,0.8076923076923077,1,55.354235356993826,9959,7176,0.35,0.00039377906172546277,21,26,False
"0.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_3, R_14",1.0,1.0,1.0,2,49.639933562641275,9884,7178,0.3,0.0007062573021322195,45,45,False
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_2, R_4, R_5, R_7, R_14",0.0,1.0,1.0,1,41.32,9768,7180,0.45,0.0002939422923207328,7,7,False
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_12, R_13, R_15",0.0,1.0,1.0,1,41.83595956983153,9948,7196,0.35,0.00029761272646161124,23,23,False
"1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_12",1.0,1.0,1.0,12,43.219199234666995,9999,7205,0.25,0.003689433832131019,103,103,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_3, R_2, R_8",1.0,0.16564122837403383,0.8354430379746836,1,51.85585983066193,9916,7206,0.25,0.0003688923114445153,66,79,False
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_1, A_2, A_3, R_4, R_5, R_6, R_13",0.0,1.0,1.0,1,52.47123733069856,9616,7209,0.35,0.0003732699850409182,23,23,False
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_1, R_10",0.0,1.0,1.0,2,48.90167646046652,9997,7213,0.3,0.0006957536726581,45,45,False
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, A_3, R_0, R_4, R_9, R_14, R_15",1.0,1.0,1.0,1,40.191359999999996,9803,7217,0.4,0.00028591337100406113,9,9,False
"0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_4, R_9, R_15",1.0,0.17045105659000342,0.8378378378378378,1,38.0442018330279,9871,7217,0.3,0.0002706389132699139,31,37,False
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_2, R_5, R_7",0.0,0.12764267223909895,0.813953488372093,1,43.562412410295984,9973,7218,0.3,0.0003098943698669782,35,43,False
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_5, R_6, R_11, R_15",0.0,1.0,1.0,1,49.05939968,9948,7223,0.4,0.00034899884805949236,12,12,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_8, R_9, R_12, R_14",0.0,0.017341529915832606,0.6666666666666666,1,48.55648,9591,7224,0.4,0.00034542117711098294,6,9,False
"0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_6, R_7",1.0,1.0,1.0,10,55.73441431936585,9995,7240,0.25,0.003964835795302002,74,74,False
"0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_4, R_8, R_15",1.0,1.0,1.0,1,53.15621331431614,9910,7250,0.35,0.0003781427684583723,23,23,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_8, R_9",0.0,1.0,1.0,5,42.61328408110226,9998,7252,0.3,0.00151571229502829,56,56,False
"1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_3, R_12, R_14, R_15",1.0,0.09893508420670521,0.7934782608695652,1,54.33075939373914,9977,7256,0.25,0.0003864982565276348,73,92,False
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_6, R_15",0.0,1.0,1.0,2,49.25832393994798,9979,7260,0.3,0.0007008279116546727,48,48,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_12, R_14, R_15",0.0,0.15476312515373453,0.8297872340425532,1,39.26790722151972,9948,7262,0.3,0.00027934411092283065,39,47,False
"1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_2, A_3, R_2, R_6, R_7, R_11, R_12, R_14",0.0,0.21405831560130767,0.8571428571428571,1,37.504000000000005,9573,7264,0.4,0.0002667960244723321,6,7,False
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_3, R_4, R_10",0.0,1.0,1.0,1,52.00634449982259,9953,7268,0.35,0.00036996282956194544,19,19,False
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_4, R_11",0.0,1.0,1.0,1,55.79725199860205,9992,7269,0.3,0.00039693059432881596,51,51,False
"1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_13",0.0,1.0,1.0,2,38.731788095772586,9926,7279,0.3,0.0005510605313916875,30,30,False
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_0, R_2, R_7, R_8, R_15",1.0,1.0,1.0,1,51.916160000000005,9690,7281,0.4,0.00036932127490053087,9,9,False
"1.0, 0.0, 1.0, 1.0","A_1, A_2, R_12, R_13",1.0,0.10068641274196444,0.7948717948717948,1,43.92097586528488,9958,7290,0.2,0.0003124451192353683,124,156,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_1, A_2, A_3, R_0, R_3, R_11, R_12, R_14",1.0,1.0,1.0,1,38.90656,9840,7293,0.4,0.0002767735583909518,9,9,False
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_7, R_11, R_15",0.0,1.0,1.0,2,46.85256668032126,9973,7297,0.3,0.0006665997507804267,40,40,False
"0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_3, R_6, R_7, R_13",1.0,0.022485239280132175,0.6842105263157895,1,45.28271036022784,9929,7309,0.35,0.00032213222860070584,13,19,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_8, R_13",0.0,1.0,1.0,1,52.2605824,9862,7320,0.35,0.0003717714276058214,12,12,False
"1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_4, R_13",0.0,0.06502825898189644,0.7608695652173914,1,43.476630692991314,9960,7328,0.25,0.00030928413572797183,70,92,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_11, R_13",0.0,1.0,1.0,3,36.797774551624286,9969,7329,0.3,0.0007853162297196976,43,43,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, R_1, R_8, R_9",0.0,0.20120590329555849,0.8518518518518519,1,43.525303716138886,9998,7365,0.25,0.00030963038596994126,69,81,False
"0.0, 0.0, 1.0, 0.0","A_0, A_2, A_3, R_1",0.0,0.05867433300128138,0.7530864197530864,1,37.739976779411094,9974,7365,0.2,0.00287291149032797,122,162,False
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_1, R_8, R_9",1.0,1.0,1.0,1,41.40773860493003,9885,7377,0.3,0.00029456644737054297,29,29,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_8, R_9, R_12",0.0,1.0,1.0,2,43.03299218654412,9978,7379,0.35,0.0006122563586027571,31,31,False
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, R_2, R_3, R_4, R_6",0.0,0.043431270080496076,0.7307692307692307,1,49.45962847535846,9979,7381,0.3,0.005086477162736531,38,52,False
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_3, R_2, R_8, R_13",1.0,0.1615055828898458,0.8333333333333334,1,52.773136723267406,9880,7400,0.3,0.0003754176374974024,30,36,False
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, A_3, R_5, R_6, R_10, R_13",0.0,1.0,1.0,1,47.0745282528042,9956,7402,0.35,0.00033487886603451996,25,25,False
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_1, R_2, R_5, R_7, R_11",0.0,1.0,1.0,1,47.90411264,9573,7403,0.4,0.0003407803649804499,12,12,False
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_2, R_10, R_15",1.0,0.056313514709472656,0.75,1,36.48400453371962,9936,7415,0.3,0.0028937342601094897,30,40,False
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, A_3, R_2, R_5, R_8, R_13",0.0,1.0,1.0,1,45.593952464896,9647,7421,0.35,0.00032434634325977866,17,17,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_3, R_6, R_7, R_9, R_13",0.0,1.0,1.0,1,41.519999999999996,9743,7424,0.4,0.0002953650526901458,7,7,False
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_2, A_3, R_2, R_4, R_7, R_8, R_9",0.0,0.017341529915832606,0.6666666666666666,1,48.6885504,9861,7426,0.4,0.00034636069976644556,8,12,False
"1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_8, R_10",0.0,1.0,1.0,4,46.00149755310976,9997,7428,0.25,0.0013089821530443042,68,68,False
"1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_7, R_8, R_10, R_11",1.0,0.5823566532299392,0.9473684210526315,1,45.11108455674675,9779,7437,0.35,0.00032091131664289805,18,19,False
"1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_7, R_12",0.0,1.0,1.0,1,42.68811483351378,9859,7454,0.3,0.0003036747901503804,38,38,False
"1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, A_3, R_2, R_11",0.0,0.11688445755751976,0.8068181818181818,1,45.55680490234285,9944,7458,0.25,0.0003240820828606741,71,88,False
"0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_7, R_15",1.0,0.10380133023311837,0.7972972972972973,1,59.30188147933696,9937,7461,0.25,0.000421861834002147,59,74,False
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_3, R_4, R_10",0.0,1.0,1.0,1,48.077841603461124,9620,7464,0.35,0.00034201623840160835,18,18,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_12, R_14, R_15",0.0,1.0,1.0,1,37.587135688704,9984,7465,0.35,0.0002673874352881917,16,16,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_2, R_3, R_7, R_15",1.0,1.0,1.0,1,61.73066635264,9884,7489,0.35,0.0004391397283199741,18,18,False
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_2, R_5, R_7",0.0,1.0,1.0,2,51.4518746758237,9973,7503,0.35,0.0007320368822076805,25,25,False
"1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_3, R_0, R_2, R_7, R_8, R_9, R_14",1.0,1.0,1.0,1,52.0,9759,7508,0.45,0.00036991769604738877,3,3,False
"0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_2, R_5, R_7",0.0,1.0,1.0,1,55.841946624,9115,7517,0.35,0.00039724854303752576,13,13,False
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_1, A_3, R_7, R_8, R_13, R_15",1.0,0.2723870401223395,0.8780487804878049,1,63.117312980615516,9971,7527,0.3,0.000449004057663293,36,41,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, A_3, R_3, R_12, R_13, R_14",1.0,0.07253815028640576,0.7692307692307693,1,47.869356544,9770,7551,0.35,0.0003405331170005283,10,13,False
"0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_3",1.0,1.0,1.0,7,42.538713094498675,9898,7552,0.25,0.0021182838304839397,69,69,False
"1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_10, R_12, R_13",0.0,1.0,1.0,3,50.98883815424,9864,7557,0.35,0.0010881734731240185,16,16,False
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_1, R_4, R_10",0.0,1.0,1.0,3,51.86003427885056,9983,7576,0.35,0.0011067660229252504,18,18,False
"1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, R_3, R_7, R_9, R_11, R_13, R_14, R_15",1.0,0.0028007538972582447,0.5555555555555556,1,41.02816,8651,7580,0.4,0.00029186620038968526,5,9,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_6, R_11, R_15",0.0,1.0,1.0,2,45.04433264065249,9979,7587,0.35,0.0006408729134777831,20,20,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_1, R_2, R_8, R_9, R_14",0.0,1.0,1.0,1,48.558104473600004,9978,7591,0.4,0.00034543273329427915,14,14,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_1, A_2, A_3, R_4, R_6, R_7, R_14",0.0,0.04139739548230255,0.7272727272727273,1,52.938585503248945,9664,7592,0.35,0.0057117355758736915,16,22,False
"0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_0, R_1",0.0,0.03907014409274539,0.7230769230769231,1,39.50363482696507,9974,7594,0.25,0.004516071654326061,47,65,False
"0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_3, R_4",1.0,1.0,1.0,2,43.206306414222524,9824,7601,0.3,0.0006147222047487197,31,31,False
"0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, A_3, R_2, R_15",1.0,0.07781143197121464,0.7746478873239436,1,44.17533316017106,9963,7610,0.25,0.00031425456662954404,55,71,False
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, R_4, R_8, R_10, R_12, R_15",1.0,0.01009895532367115,0.631578947368421,1,44.59345209979699,9923,7611,0.35,0.00031722898191454795,12,19,False
"0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_1, R_3, R_7",1.0,0.10737418240000006,0.8,1,40.1578566781606,9990,7622,0.3,0.0002856750350112772,32,40,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_2, R_4, R_12",0.0,0.0921709536442885,0.7878787878787878,1,36.70805176592613,9984,7628,0.3,0.00026113380645460913,26,33,False
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_3, R_14",0.0,1.0,1.0,3,50.96422242961128,9894,7631,0.3,0.0010876481389620267,41,41,False
"1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_5, R_8, R_12, R_13, R_15",1.0,1.0,1.0,2,56.1871872,9417,7657,0.4,0.0007994090321695128,11,11,False
"1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_5, R_8, R_12, R_13",1.0,1.0,1.0,1,53.069733421056,9417,7657,0.4,0.0003775275676339643,16,16,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_0, R_5, R_8, R_13",0.0,0.23906771605510008,0.8666666666666667,1,37.29054537728,9926,7667,0.35,0.00026527755058296194,13,15,False
"1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_2, A_3, R_2, R_3, R_5, R_13",0.0,0.030713071210289808,0.7058823529411765,1,45.893156624793605,9714,7667,0.35,0.00032647482236510786,12,17,False
"1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_2, R_14",1.0,0.19935233822844697,0.851063829787234,2,49.803336495606935,9925,7668,0.25,0.0007085821343049135,40,47,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_2, A_3, R_3, R_4, R_8, R_10",0.0,0.08101311022241207,0.7777777777777778,1,53.89035516739584,9953,7678,0.35,0.0003833653081288185,14,18,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_0, R_8",0.0,1.0,1.0,4,49.95768573193169,9912,7679,0.25,0.0014215563081396675,70,70,False
"1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_6, R_9, R_12",0.0,1.0,1.0,1,46.8676217129848,9975,7685,0.35,0.0003334069739093829,21,21,False
"1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_3, R_2, R_4, R_7, R_9, R_10",1.0,0.02824752489999998,0.7,1,53.747232775680814,9925,7688,0.35,0.008498543231607947,14,20,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, A_3, R_2, R_3, R_10, R_11",1.0,0.02824752489999998,0.7,1,55.108928000000006,9867,7692,0.35,0.00039203399379618143,7,10,False
"0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_2, A_3, R_4, R_8, R_10, R_12",1.0,0.21405831560130767,0.8571428571428571,1,49.42751363323184,9875,7695,0.3,0.0003516175377799235,30,35,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_3, R_2, R_10, R_13",0.0,0.06976102686790511,0.7662337662337663,1,45.862142208044745,9983,7710,0.25,0.00032625419194995414,59,77,False
"1.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_10, R_12, R_13",0.0,0.2630755761638284,0.875,1,46.99161693361464,9939,7739,0.3,0.0003342890513389267,28,32,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_1, A_3, R_7, R_13, R_15",1.0,0.47659904336004005,0.9285714285714286,1,59.0369882783404,9971,7740,0.25,0.0004199774362596227,65,70,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_1, R_11, R_13",1.0,0.07816584462936413,0.775,1,58.09341435912471,9971,7742,0.3,0.00041326503837026357,31,40,False
"0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_8, R_10, R_15",1.0,1.0,1.0,1,31.6,9564,7744,0.4,0.00022479613836725934,5,5,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_0, R_8, R_12, R_13, R_14",0.0,0.056313514709472656,0.75,1,34.401599999999995,9495,7751,0.4,0.0002447261656219971,6,8,False
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, A_3, R_0, R_1, R_7, R_13",1.0,0.056313514709472656,0.75,1,48.273484918836594,9852,7760,0.35,0.003828818654909712,18,24,False
"0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_1, R_5",0.0,1.0,1.0,5,55.66699201268763,9974,7761,0.25,0.001980019753002096,67,67,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_0, R_5",0.0,0.07086876147884642,0.7674418604651163,1,45.41569854158267,9989,7763,0.25,0.0003230782801708657,66,86,False
"0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_4",1.0,1.0,1.0,9,44.07369944801634,9910,7764,0.25,0.0028217840808626438,59,59,False
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_5, R_14, R_15",0.0,0.14347992566424797,0.8235294117647058,1,40.69050625085645,9945,7771,0.3,0.0002894641985253594,28,34,False
"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_3, R_0, R_4, R_9, R_12, R_15",1.0,0.23906771605510008,0.8666666666666667,1,43.30644738048,9784,7774,0.4,0.0003080734853650892,13,15,False
"1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_8, R_11, R_12, R_13",0.0,1.0,1.0,1,52.9154176,9921,7780,0.35,0.0003764297954611047,11,11,False
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_7, R_13",1.0,1.0,1.0,1,54.80466139920859,9597,7788,0.35,0.00038986950148947125,21,21,False
"0.0, 0.0, 0.0, 0.0","A_0, A_3, R_0, R_2",0.0,0.10219221763521806,0.7960526315789473,1,48.52212752918253,9989,7792,0.2,0.0003451768004406303,121,152,False
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_3, R_9, R_11, R_14",1.0,0.004230491648658657,0.5789473684210527,1,41.161071106686975,9885,7793,0.35,0.00029281170366593056,11,19,False
"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_2, R_6, R_8",0.0,0.012054376104299195,0.6428571428571429,1,39.5089987584,9400,7795,0.35,0.00028105918834320134,9,14,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_5, R_7, R_12, R_13",0.0,0.10737418240000006,0.8,1,36.293968138240004,9807,7796,0.35,0.00025818809757913614,12,15,False
"1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_1, R_12",0.0,1.0,1.0,5,46.84852206254542,9960,7809,0.3,0.0016663555139040445,35,35,False
"1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_2, R_7, R_8, R_9",1.0,0.08698934795517753,0.7833333333333333,1,41.76922603410033,9931,7815,0.25,0.00029713799731186547,47,60,False
"1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_8",1.0,1.0,1.0,10,40.20848129721388,9991,7817,0.25,0.0028603516851980542,57,57,False
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_1, R_4, R_10, R_12, R_13",0.0,1.0,1.0,1,53.5,9864,7820,0.45,0.0003805883988179865,2,2,False
"0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_2, A_3, R_0, R_2",0.0,0.14904048703022246,0.8266666666666667,1,45.96411420393086,9952,7823,0.25,0.0003269796005226377,62,75,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_2, R_5, R_7",0.0,1.0,1.0,3,46.43303105686433,9973,7830,0.3,0.0009909461462914674,37,37,False
"0.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_4, R_15",1.0,1.0,1.0,5,50.48104291592454,9910,7840,0.3,0.0017955606816854003,29,29,False
"0.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_4, R_8",1.0,1.0,1.0,4,46.78408210677356,9910,7840,0.3,0.0013312507588176571,29,29,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, A_3, R_3, R_7, R_15",1.0,1.0,1.0,2,55.82189223662238,9995,7859,0.3,0.0007942117601991142,31,31,False
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_5, R_7, R_11",0.0,1.0,1.0,1,39.270976000000005,9768,7861,0.4,0.00027936594160485193,10,10,False
"0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_7, R_8",1.0,0.0653060977396646,0.7611940298507462,1,61.37029387083841,9995,7863,0.25,0.0004365761098933025,51,67,False
