Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_2, R_3",0.0,1.0,1.0,2,53.434131450581454,9981,3330,0.3,0.0007602396460189388,100,100,False
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_8, R_10, R_11",1.0,1.0,1.0,2,58.80043585933514,9856,3473,0.3,0.0008365892984487506,105,105,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, A_3, R_0, R_8",1.0,1.0,1.0,6,48.0468065354456,9991,3481,0.25,0.002050772766464614,198,198,False
"0.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, A_3, R_1, R_9",1.0,1.0,1.0,9,45.664763946050755,9972,3551,0.25,0.002923650738946897,173,173,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_4, R_11, R_14",0.0,0.07253815028640576,0.7692307692307693,1,42.0624866279893,9901,3572,0.3,0.00029922419506634427,70,91,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_3, R_1, R_2",1.0,0.08689821669953383,0.7832512315270936,1,48.1857400809579,9963,3593,0.25,0.00034278380679012043,159,203,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_2, A_3, R_0, R_4, R_11",0.0,0.06788776891818736,0.7641509433962265,1,49.386580289566474,9954,3622,0.25,0.0003513263460841502,162,212,False
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_11, R_14",0.0,1.0,1.0,4,38.25885782487553,9984,3649,0.3,0.0010886637338448127,96,96,False
"0.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_4, R_5, R_14",0.0,1.0,1.0,3,59.628105371582095,9992,3693,0.3,0.0012725475783880718,106,106,False
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_1, A_2, A_3, R_6, R_7, R_8, R_10, R_11, R_13",1.0,1.0,1.0,1,54.841333760000005,9555,3722,0.45,0.00039013038139740545,12,12,False
